,0
300,ICPUSDT
301,USDTGYEN
302,ARUSDT
303,POLSUSDT
304,MDXUSDT
305,MASKUSDT
306,LPTUSDT
307,NUUSDT
308,XVGUSDT
309,ATAUSDT
310,GTCUSDT
311,TORNUSDT
312,KEEPUSDT
313,ERNUSDT
314,KLAYUSDT
315,PHAUSDT
316,BONDUSDT
317,MLNUSDT
318,DEXEUSDT
319,C98USDT
320,CLVUSDT
321,QNTUSDT
322,FLOWUSDT
323,TVKUSDT
324,MINAUSDT
325,RAYUSDT
326,FARMUSDT
327,ALPACAUSDT
328,QUICKUSDT
329,MBOXUSDT
330,FORUSDT
331,REQUSDT
332,GHSTUSDT
333,WAXPUSDT
334,TRIBEUSDT
335,GNOUSDT
336,XECUSDT
337,ELFUSDT
338,DYDXUSDT
339,POLYUSDT
340,IDEXUSDT
341,VIDTUSDT
342,USDPUSDT
343,GALAUSDT
344,ILVUSDT
345,YGGUSDT
346,SYSUSDT
347,DFUSDT
348,FIDAUSDT
349,FRONTUSDT
350,CVPUSDT
351,AGLDUSDT
352,RADUSDT
353,BETAUSDT
354,RAREUSDT
355,LAZIOUSDT
356,CHESSUSDT
357,ADXUSDT
358,AUCTIONUSDT
359,DARUSDT
360,BNXUSDT
361,RGTUSDT
362,MOVRUSDT
363,CITYUSDT
364,ENSUSDT
365,KP3RUSDT
366,QIUSDT
367,PORTOUSDT
368,POWRUSDT
369,VGXUSDT
370,JASMYUSDT
371,AMPUSDT
372,PLAUSDT
373,PYRUSDT
374,RNDRUSDT
375,ALCXUSDT
376,SANTOSUSDT
377,MCUSDT
378,ANYUSDT
379,BICOUSDT
380,FLUXUSDT
381,FXSUSDT
382,VOXELUSDT
383,HIGHUSDT
384,CVXUSDT
385,PEOPLEUSDT
386,OOKIUSDT
387,SPELLUSDT
388,USTUSDT
389,JOEUSDT
390,ACHUSDT
391,IMXUSDT
392,GLMRUSDT
393,LOKAUSDT
394,SCRTUSDT
395,API3USDT
396,BTTCUSDT
397,ACAUSDT
398,ANCUSDT
399,XNOUSDT
400,WOOUSDT
401,ALPINEUSDT
402,TUSDT
403,ASTRUSDT
404,NBTUSDT
405,GMTUSDT
406,KDAUSDT
407,APEUSDT
408,BSWUSDT
409,BIFIUSDT
410,MULTIUSDT
411,STEEMUSDT
412,MOBUSDT
413,NEXOUSDT
414,REIUSDT
